century,author,link
18,"Condorcet, Jean-Antoine-Nicolas de Caritat, marquis de (1743-1794) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Condorcet%2C%20Jean-Antoine-Nicolas%20de%20Caritat%22%20or%20dc.contributor%20all%20%22Condorcet%2C%20Jean-Antoine-Nicolas%20de%20Caritat%22%20%29%20&filter=dc.creator%20all%20%22condorcet%2C%20jean-antoine-nicolas%20de%20caritat%20%281743-1794%20%3B%20marquis%20de%29.%20auteur%20du%20texte%22
18,"Correspondance littéraire, philosophique et critique (1748-1793) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=dc.title%20all%20%22Correspondance%20litt%C3%A9raire%2C%20philosophique%20et%20critique%20%22%20&filter=dc.type%20all%20%22monographie%22
18,"Cottin, Sophie née Ristaud, Madame (1770-1807) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Cottin%2C%20Sophie%20%22%20or%20dc.contributor%20all%20%22Cottin%2C%20Sophie%20%22%20%29%20&filter=dc.type%20all%20%22monographie%22
18,"Crébillon Fils, Claude-Prosper Jolyot de (1707-1777) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Cr%C3%A9billon%2C%20Claude-Prosper%20Jolyot%20de%20%281707-1777%29%22%20or%20dc.contributor%20all%20%22Cr%C3%A9billon%2C%20Claude-Prosper%20Jolyot%20de%20%281707-1777%29%22%20%29%20&filter=dc.type%20all%20%22monographie%22
18,"Crébillon Père, Prosper Jolyot de (1674-1762) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&query=%28%28dc.creator%20all%20%22Cr%C3%A9billon%2C%20Prosper%20Jolyot%20de%22%20or%20dc.contributor%20all%20%22Cr%C3%A9billon%2C%20Prosper%20Jolyot%20de%22%29%29&filter=dc.type%20all%20%22monographie%22%20and%20dc.creator%20all%20%22cr%C3%A9billon%2C%20prosper%20jolyot%20de%20%281674-1762%29.%20auteur%20du%20texte%22
18,"Delille, Jacques (1738-1813) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22delille,%20jacques%20(1738-1813)%22%20or%20dc.contributor%20all%20%22delille,%20jacques%20(1738-1813)%22%20)%20&suggest=10&keywords=delille,%20jacques%20(1738-1813)"
18,"Denon, Dominique-Vivant (1747-1825) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Denon,%20Dominique-Vivant%22%20or%20dc.contributor%20all%20%22Denon,%20Dominique-Vivant%22%20)%20&suggest=12&keywords=Denon,%20Dominique-Vivant"
18,"Diderot, Denis (1713-1784) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Diderot%2C%20Denis%20%22%20or%20dc.contributor%20all%20%22Diderot%2C%20Denis%20%22%20%29%20&filter=dc.creator%20all%20%22diderot%2C%20denis%20%281713-1784%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22
18,"Dorat, Claude-Joseph (1734-1780) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Dorat,%20Claude-Joseph%22%20or%20dc.contributor%20all%20%22Dorat,%20Claude-Joseph%22%20)%20&suggest=10&keywords=Dorat,%20Claude-Joseph"
18,"Du Bocage, Anne-Marie (1710-1802) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Du%20Bocage,%20Anne-Marie%22%20or%20dc.contributor%20all%20%22Du%20Bocage,%20Anne-Marie%22%20)%20&suggest=10&keywords=Du%20Bocage,%20Anne-Marie"
