century,link,identifier,author,title,contributors,rights
19,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&collapsing=true&version=1.2&query=(dc.creator%20adj%20%22Copp%C3%A9e,%20Fran%C3%A7ois%22%20or%20dc.contributor%20adj%20%22Copp%C3%A9e,%20Fran%C3%A7ois%22%20)%20&suggest=10&keywords=Copp%C3%A9e,%20Fran%C3%A7ois",https://gallica.bnf.fr/ark:/12148/cb32695015s/date,"Coppée, François (1842-1908) (nouvelle fenêtre)",L'Année littéraire (Paris. 1885),"['Ulbach, Louis (1822-1889). Préfacier', 'Uzanne, Octave (1851-1931). Préfacier', 'Fouquier, Henry (1838-1901). Préfacier', 'Lemaître, Jules (1853-1914). Préfacier', 'Claretie, Jules (1840-1913). Préfacier', 'Coppée, François (1842-1908). Préfacier', 'Richepin, Jean (1849-1926). Préfacier', 'France, Anatole (1844-1924). Préfacier', 'Ibsen, Henrik (1828-1906). Préfacier', 'Houssaye, Henry (1848-1911). Préfacier']",[]
19,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Cros%20%2C%20Charles%22%20or%20dc.contributor%20all%20%22Cros%20%2C%20Charles%22%20%29%20&filter=dc.type%20all%20%22monographie%22,https://gallica.bnf.fr/ark:/12148/bpt6k3348080x,"Cros, Charles (1842-1888) (nouvelle fenêtre)",Mémento du citoyen d'outre-mer / Charles Cros,[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Cros%20%2C%20Charles%22%20or%20dc.contributor%20all%20%22Cros%20%2C%20Charles%22%20%29%20&filter=dc.type%20all%20%22monographie%22,https://gallica.bnf.fr/ark:/12148/bpt6k3349149s,"Cros, Charles (1842-1888) (nouvelle fenêtre)",Ce qu'il faut savoir sur la Ve République française et la Communauté : les accords d'association / Charles Cros,[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Cros%20%2C%20Charles%22%20or%20dc.contributor%20all%20%22Cros%20%2C%20Charles%22%20%29%20&filter=dc.type%20all%20%22monographie%22,https://gallica.bnf.fr/ark:/12148/bpt6k3353661c,"Cros, Charles (1842-1888) (nouvelle fenêtre)",Le pays de Sine & Saloum (Sénégal) : l'histoire et la légende / Charles Cros,[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Cros%20%2C%20Charles%22%20or%20dc.contributor%20all%20%22Cros%20%2C%20Charles%22%20%29%20&filter=dc.type%20all%20%22monographie%22,https://gallica.bnf.fr/ark:/12148/bpt6k3350659c,"Cros, Charles (1842-1888) (nouvelle fenêtre)",Le droit et la doctrine de la justice (Nouvelle édition) / par P. C. Solberg et Guy-Ch. Cros,[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Deschamps,%20%C3%89mile%20(1791-1871)%22%20or%20dc.contributor%20all%20%22Deschamps,%20%C3%89mile%20(1791-1871)%22%20)%20&suggest=10&keywords=Deschamps,%20%C3%89mile%20(1791-1871)",https://gallica.bnf.fr/ark:/12148/cb326880577/date,"Deschamps, Emile (1791-1871) (nouvelle fenêtre)","Almanach des orphéons et des sociétés instrumentales... / par M. M. Camille de Vos, Ch. Coligny, Jules-Janin, Arsène Houssaye, Emile Deschamps, Roger de Beauvoir, Em. de la Bedollière, Eugène d'Auriac, A. de Pontécoulant, Léon Escudier, Léon Gatayes, Lomon, H. Vié, Firmin Maillard, Anders, Joannis Guigard, Jules Mahias, de Lyden, Alexis Faure, Eliacim Jourdain, Benjamin Gastineau, Nozahies, etc. ; sous la direction de J. F. Vaudin,...","['Vaudin, Jean-François (1826-1869). Directeur de publication', 'Vaudin, Jean-François (1826-1869). Éditeur scientifique']",[]
19,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Esquiros,%20Alphonse%22%20or%20dc.contributor%20all%20%22Esquiros,%20Alphonse%22%20)%20&suggest=10&keywords=Esquiros,%20Alphonse",https://gallica.bnf.fr/ark:/12148/cb32838724h/date,"Esquiros, Alphonse (1812-1876) (nouvelle fenêtre)",Le Peuple (Paris. 1848),"['Esquiros, Alphonse (1812-1876). Directeur de publication', 'Bry, Pierre (1822-1864). Directeur de publication']",[]
19,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Esquiros,%20Alphonse%22%20or%20dc.contributor%20all%20%22Esquiros,%20Alphonse%22%20)%20&suggest=10&keywords=Esquiros,%20Alphonse",https://gallica.bnf.fr/ark:/12148/cb32881422b/date,"Esquiros, Alphonse (1812-1876) (nouvelle fenêtre)",La Tribune nationale (Paris. 1848),"['La Mennais, Félicité de (1782-1854). Directeur de publication', 'Esquiros, Alphonse (1812-1876). Directeur de publication']",[]
19,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Feydeau,%20Ernest%22%20or%20dc.contributor%20all%20%22Feydeau,%20Ernest%22%20)%20&suggest=12&keywords=Feydeau,%20Ernest",https://gallica.bnf.fr/ark:/12148/cb328601952/date,"Feydeau, Ernest (1821-1873) (nouvelle fenêtre)",Revue internationale de l'art et de la curiosité / publiée sous la direction de Ernest Feydeau,"['Feydeau, Ernest (1821-1873). Directeur de publication']",[]
19,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22gauthier%20de%20th%C3%A9ophile%22%20or%20dc.contributor%20all%20%22gauthier%20de%20th%C3%A9ophile%22%20%29%20&filter=dc.type%20all%20%22monographie%22%20and%20dc.creator%20all%20%22gautier%2C%20th%C3%A9ophile%20%281811-1872%29.%20auteur%20du%20texte%22,https://gallica.bnf.fr/ark:/12148/bpt6k33963970,"Gautier, Théophile (1811-1872) (nouvelle fenêtre)","La description du ""Panthéon"" de Paul Chenavard par Gautier et Nerval : une collaboration inconnue / Jean Richer",[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
