century;identifier;author;title;rights
19;https://gallica.bnf.fr/ark:/12148/cb34402278k/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);"Études historiques et religieuses du Diocèse de Bayonne : comprenant les anciens diocèses de Bayonne, Lescar, Oloron et la partie basque et béarnaise de l'ancien diocèse de Dax / M. l'abbé V. Dubarat, directeur ; M. l'abbé P. Haristoy, fondateur-collaborateur";[]
19;https://gallica.bnf.fr/ark:/12148/cb32814351x/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Mercure étranger, ou Annales de la littérature étrangère;[]
19;https://gallica.bnf.fr/ark:/12148/cb327704441/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Les Étoiles;[]
19;https://gallica.bnf.fr/ark:/12148/cb327981587/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Journal de la Montagne;[]
19;https://gallica.bnf.fr/ark:/12148/cb34452332k/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Le Charivari (Paris. 1832);[]
19;https://gallica.bnf.fr/ark:/12148/cb344040624/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Revue d'Alsace;[]
19;https://gallica.bnf.fr/ark:/12148/cb32820245z/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Le Mot (Paris);[]
19;https://gallica.bnf.fr/ark:/12148/cb32750320b/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Le Courier de l'Armée des côtes de La Rochelle / publié par les citoyens Richard, Choudieu, Bourbotte, Turreau et Tallien, représentants du peuple, formant la Commission centrale établie par la Convention nationale près cette armée;[]
19;https://gallica.bnf.fr/ark:/12148/cb327986698/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Journal de Paris;[]
19;https://gallica.bnf.fr/ark:/12148/cb327994360/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Journal des connaissances médicales pratiques;[]
19;https://gallica.bnf.fr/ark:/12148/cb32860110v/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);La Revue indépendante / publiée par Pierre Leroux, George Sand et Louis Viardot;[]
19;https://gallica.bnf.fr/ark:/12148/cb32856514k/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Revue britannique, ou Choix d'articles traduits des meilleurs écrits périodiques de la Grande-Bretagne, sur la littérature, les beaux-arts, les arts industriels, l'agriculture, le commerce, l'économie politique, les finances, la législation, etc., etc.;[]
19;https://gallica.bnf.fr/ark:/12148/cb328162247/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);La Minerve française / par MM. Aignan,... Benjamin Constant, Évariste Dumoulin, Étienne, A. Jay, E. Jouy,... Lacretelle aîné... Tissot,...;[]
19;https://gallica.bnf.fr/ark:/12148/cb41286428j/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Statistique des prisons et établissements pénitentiaires...;[]
19;https://gallica.bnf.fr/ark:/12148/cb34349680k/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Répertoire d'art et d'archéologie (Imprimé);[]
19;https://gallica.bnf.fr/ark:/12148/cb328163622/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Rapport au Roi sur la situation des canaux ...;[]
19;https://gallica.bnf.fr/ark:/12148/cb343488023/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Le Journal des sçavans;[]
19;https://gallica.bnf.fr/ark:/12148/cb32737996h/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);"Catalogue hebdomadaire ou Liste des livres, estampes, cartes, ordonnances, edits, déclarations, arrêts, qui sont mis en vente chaque semaine, tant en France qu'en pays étrangers ; l'indication des volumes, du nombre & de la grandeur dont ils sont formés ; les noms des auteurs, la nature du papier & du caractère &c. que l'on a employés, & les adresses des libraires ou autres qui les vendent";[]
19;https://gallica.bnf.fr/ark:/12148/cb32873747s/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Suite de la Clef, ou Journal historique sur les matieres du tems;[]
19;https://gallica.bnf.fr/ark:/12148/cb328561374/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Révolutions de Paris, dédiées à la Nation;[]
19;https://gallica.bnf.fr/ark:/12148/cb32826739v/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Nouvelles ecclésiastiques;[]
19;https://gallica.bnf.fr/ark:/12148/cb32688026z/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Almanach des muses (Paris. 1765);[]
19;https://gallica.bnf.fr/ark:/12148/cb375835704/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Recueil de médecine vétérinaire;[]
19;https://gallica.bnf.fr/ark:/12148/cb32741742s/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);La Chronique du mois ou les Cahiers patriotiques de E. Clavière, C. Condorcet, L. Mercier, A. Auger, J. Oswald, N. Bonneville, J. Bidermann, A. Broussonet, A. Guy-Kersaint, J. P. Brissot, J. Ph. Garran de Coulon, J. Dussaulx, F. Lanthenas et Collot-d'Herbois;[]
19;https://gallica.bnf.fr/ark:/12148/cb32814317r/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Mercure de France : dédié au Roy;[]
19;https://gallica.bnf.fr/ark:/12148/cb34363188x/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Recueil général des lois et des arrêts : en matière civile, criminelle, commerciale et de droit public... / par J.-B. Sirey;[]
19;https://gallica.bnf.fr/ark:/12148/cb423262987/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Discours prononcé à l'ouverture du Conseil général par le gouverneur... / Etablissements français de l'Inde;[]
19;https://gallica.bnf.fr/ark:/12148/cb42454789z/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Discours prononcé le ... par M..., Gouverneur de l'Île de La Réunion à l'ouverture de la ... session ... du Conseil général...;[]
19;https://gallica.bnf.fr/ark:/12148/cb34423334w/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Recueil de mémoires de médecine, de chirurgie et de pharmacie militaires / [publié par ordre du Ministre de la guerre];[]
19;https://gallica.bnf.fr/ark:/12148/cb34378279n/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Journal de chimie médicale, de pharmacie et de toxicologie / rédigé par MM. Chevallier, Fée, Guibourt, Julia Fontenelle, Laugier, Orfila, Payen, Gabriel Pelletan, Lassaigne, Ach. Richard, Robinet, Segalas d'Etchepare;[]
19;https://gallica.bnf.fr/ark:/12148/cb42000024r/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Discours d'ouverture prononcé par M..., Gouverneur (Conseil général de la Guadeloupe et dépendances);[]
19;https://gallica.bnf.fr/ark:/12148/cb328699885/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Rapport sur les travaux du Comité durant l'exercice ... (Société des gens de lettres);[]
19;https://gallica.bnf.fr/ark:/12148/cb327469896/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);La Connaissance des temps (1679);[]
19;https://gallica.bnf.fr/ark:/12148/cb32772141n/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Exposé de la situation de l'Algérie / par M. le Gouverneur général...;[]
19;https://gallica.bnf.fr/ark:/12148/cb344288783/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Monuments et mémoires (Paris);[]
19;https://gallica.bnf.fr/ark:/12148/cb344401163/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Compte rendu des travaux de l'Académie de Lyon;[]
19;https://gallica.bnf.fr/ark:/12148/cb327468261/date;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Conférences faites aux matinées classiques du Théâtre national de l'Odéon;[]
19;https://gallica.bnf.fr/ark:/12148/bpt6k33628893;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);"Un rêve modeste et fou / Éric Cantona ; avec la collab. de Pierre-Louis Basse";"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k33321003;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);"Esprit et honneur de la Légion d'honneur / photographies, Robert Barradi ; texte, Pierre Louis Delornay";"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k3332874t;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Homme blanc, long nez : roman / Pierre-Louis Humbert;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k3337860b;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Utopie d'hier, réalité de demain, causerie sur l'évolution de l'économie générale à travers les âges et jusqu'à nos jours, faite le 2 juillet 1947 à Epinal... / Pierre-Louis Maitre,...;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
