Dateiname;ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;dewey;sdewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
Barrès_Faut-il autoriser les congrégations;ark__12148_bpt6k827617;https://gallica.bnf.fr/ark:/12148/bpt6k827617;Faut-il autoriser les congrégations ? Les pères blancs ;Barrès, Maurice (1862-1923);Plon-Nourrit (Paris);1923-1924;"2 vol. (45, 20 p.) ; in-8";fre;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb34064326n'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34064326n']'';Bibliothèque nationale de France, département Littérature et art, 8-Le90-1426 (2);Appartient à l’ensemble documentaire : BbLevt0;bnf.fr;20;200;monographie;0;15.10.2007 00:00;627abedc-66d7-49b1-a3a0-aec34b3ce31e;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bernanos_Sous le soleil de Satan.;ark__12148_bpt6k8767606;https://gallica.bnf.fr/ark:/12148/bpt6k8767606;Sous le soleil de Satan. Tome 2 ;Bernanos, Georges (1888-1948);(Paris);1932;"['2 vol. (253, 252 p.) ; in-16', 'Nombre total de vues : 256']";['fre', 'français'];''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb318009022'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb11968255v', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb318009022']'';Bibliothèque nationale de France;"['[Sous le soleil de Satan (français)]', 'Collection : Bibliothèque reliée Plon ; 119-120', 'Collection : Bibliothèque reliée Plon ; 119-120', 'Avec mode texte']";bnf.fr;80;840;monographie;89030;30.12.2018 00:00;e62ea68d-3cec-4771-b1a1-e914d8b41472;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_Jésus ;ark__12148_bpt6k1133128;https://gallica.bnf.fr/ark:/12148/bpt6k1133128;Jésus ;Barbusse, Henri (1873-1935);(Paris);1927;"['1 vol. (249 p.) ; 18 cm', 'Nombre total de vues : 256']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb317615744;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-H-8480;;bnf.fr;80;840;monographie;90880;12.03.2008 00:00;68696d22-5db4-44c8-8067-daf4d0032f6d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bernanos_Le chemin de la Croix-des-Ames_T2;ark__12148_bpt6k8859047;https://gallica.bnf.fr/ark:/12148/bpt6k8859047;Le chemin de la Croix-des-Ames. Volume 2 ;Bernanos, Georges (1888-1948);Atlantica editora (Rio de Janeiro);1943-1944;"['2 vol. (152, 166 p.) ; 21 cm', 'Nombre total de vues : 182']";fre;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31800834d'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31800834d']'';Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 16-G-430 (4);Avec mode texte;bnf.fr;90;900;monographie;89050;30.12.2018 00:00;1f32f5ef-b4c2-483c-a52a-4b738456bb64;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bernanos_Les grands cimetières sous la;ark__12148_bd6t5370282d;https://gallica.bnf.fr/ark:/12148/bd6t5370282d;Les grands cimetières sous la lune ;Bernanos, Georges (1888-1948);les petits-fils de Plon et Nourrit (Paris);1938;"['1 vol. (V-361 p.) ; 19 cm', 'Nombre total de vues : 392']";fre;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12385517x', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31800850n'];Bibliothèque nationale de France, département Littérature et art, 8-Z-28037;['[Les grands cimetières sous la lune (français)]', 'Avec mode texte'];bnf.fr;80;840;monographie;89610;14.03.2022 00:00;b6645b8b-df43-43ee-83bf-d68d630fe4d0;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_J'accuse;ark__12148_bpt6k1133230;https://gallica.bnf.fr/ark:/12148/bpt6k1133230;J'accuse ! : un réquisitoire implacable ;Barbusse, Henri (1873-1935);(Paris);1932;"['32 p. ; in-16', 'Nombre total de vues : 33']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34042869d;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Lb57-15939;Avec mode texte;bnf.fr;90;940;monographie;99850;02.04.2008 00:00;f2107eba-33d6-4bf3-9062-105b3f649f5c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Crevel_Êtes-vous fous;ark__12148_bpt6k10672866;https://gallica.bnf.fr/ark:/12148/bpt6k10672866;Êtes-vous fous ? ;Crevel, René (1900-1935);(Paris);1929;"['1 vol. (216-[1] p.) ; 19 cm', 'Nombre total de vues : 225', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35977700p;Bibliothèque nationale de France, département Réserve des livres rares, RES 8-Z PAB BIBL-270;Avec mode texte;bnf.fr;;;monographie;10000;13.04.2015 00:00;8910c743-a6c8-4d8e-9275-fa4a4cd43bfb;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Drieu La Rochelle_Plainte contre inconnu ;ark__12148_bpt6k96937129;https://gallica.bnf.fr/ark:/12148/bpt6k96937129;Plainte contre inconnu ;Drieu La Rochelle, Pierre (1893-1945);['la Nouvelle revue française (Paris)', 'Gallimard (Paris)'];1924;"['1 vol. (202 p.) ; 19 cm', 'Nombre total de vues : 228']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35215465h;Bibliothèque nationale de France, département Littérature et art, 16-Y2-37865;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;840;monographie;9980;19.06.2016 00:00;8688cfea-e1f5-4acc-9c9e-e4bfc2a3df93;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Crevel_Le clavecin de Diderot ;ark__12148_bpt6k9691893g;https://gallica.bnf.fr/ark:/12148/bpt6k9691893g;Le clavecin de Diderot ;Crevel, René (1900-1935);Éd. surréalistes (Paris);1932;"['1 vol. (168-[1] p.) ; 19 cm', 'Nombre total de vues : 190', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb377488893;Bibliothèque nationale de France, département Littérature et art, 8-Z-7851;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;840;monographie;99740;13.06.2016 00:00;45a20e57-b39b-4fb2-8cd2-c37a4cb96651;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
France_La vie en fleur ;ark__12148_bpt6k8630149g;https://gallica.bnf.fr/ark:/12148/bpt6k8630149g;La vie en fleur ;France, Anatole (1844-1924);Calmann-Lévy (Paris);1925;"['II-352 p. ; in-16', 'Nombre total de vues : 370']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32124044t;Bibliothèque nationale de France, département Littérature et art, 8-Y2-25251;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;800;monographie;99940;04.01.2016 00:00;2c369c1e-57b6-46fa-aa76-18782bdf14a4;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
France_Rabelais ;ark__12148_bpt6k202368z;https://gallica.bnf.fr/ark:/12148/bpt6k202368z;Rabelais ;France, Anatole (1844-1924);(Paris);1928;"['1 vol. (IV-246 p.) ; in-8', 'Nombre total de vues : 256']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb38831892d;Bibliothèque nationale de France;;bnf.fr;80;840;monographie;95610;15.10.2007 00:00;853f9d98-0182-418a-94d4-7f9bbabb15a8;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
France_Le puits de sainte Claire;ark__12148_bpt6k86304468;https://gallica.bnf.fr/ark:/12148/bpt6k86304468;Le puits de sainte Claire ;France, Anatole (1844-1924);C. Lévy (Paris);1895;"['304 p. ; in-18', 'Nombre total de vues : 330']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30457781j;Bibliothèque nationale de France, département Littérature et art, 8-Y2-49159;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;800;monographie;99940;25.04.2016 00:00;064252af-6c4e-451f-916d-1befca45c84d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
France_L'île des pingouins ;ark__12148_bpt6k8630000w;https://gallica.bnf.fr/ark:/12148/bpt6k8630000w;L'île des pingouins ;France, Anatole (1844-1924);Calmann-Lévy (Paris);1925;"['XVI-419 p. ; in-16', 'Nombre total de vues : 456']";['fre', 'français'];['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb166467038', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32123783d'];Bibliothèque nationale de France, département Littérature et art, 8-Y2-25216;''[''''[L'île des pingouins (français)]'''', 'Contient une table des matières', 'Avec mode texte']'';bnf.fr;80;840;monographie;99940;19.09.2016 00:00;8771e004-63c7-4d9c-9fd2-9a986b0c83fc;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Giraudoux_Siegfried et le Limousin ;ark__12148_bpt6k9737428z;https://gallica.bnf.fr/ark:/12148/bpt6k9737428z;Siegfried et le Limousin : roman ;Giraudoux, Jean (1882-1944);J. Ferenczi et fils (Paris);1932;"['1 vol. (269 p.) ; 18 cm', 'Nombre total de vues : 272']";['fre', 'français'];['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12548067b', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb321699957'];Bibliothèque nationale de France, département Littérature et art, 8-Z-26096 (3);"['[Siegfried (français)]', 'Collection : Le beau livre ; 3', 'Avec mode texte']";bnf.fr;80;800;monographie;9980;08.08.2016 00:00;ca5aa6d6-c5ea-496f-8343-0499f1455137;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bernanos_Le chemin de la Croix-des-Ames_T3;ark__12148_bpt6k885905m;https://gallica.bnf.fr/ark:/12148/bpt6k885905m;Le chemin de la Croix-des-Ames (articles de guerre) : 1942-1943. 3e volume ;Bernanos, Georges (1888-1948);(Rio de Janeiro);1944;"['1 vol. (162 p.) ; 21 cm', 'Nombre total de vues : 178']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31800828g;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 16-G-430 (5);Avec mode texte;bnf.fr;80;800;monographie;89420;30.12.2018 00:00;377033e8-2717-4b28-aad7-b97ac0a0e6e1;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
