Dateiname;ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;dewey;sdewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
Rolland_Danton ;ark__12148_bpt6k3223809;https://gallica.bnf.fr/ark:/12148/bpt6k3223809;Danton ;Rolland, Romain (1866-1944);Éd. de la Revue d'art dramatique (Paris);1900;['124 p.', 'Nombre total de vues : 138'];fre;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb124681415', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35477655t'];Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-1167;''['[Danton (français)]', ''''Mécénat texte imprimé : Cet ouvrage a été numérisé grâce à un don d'Alain Pallud'''', 'Avec mode texte']'';bnf.fr;;;monographie;88590;10.02.2019 00:00;62e12006-bd2d-46cb-aed8-7c2a328f53b8;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Régnier_Proses datées ;ark__12148_bpt6k96225235;https://gallica.bnf.fr/ark:/12148/bpt6k96225235;Proses datées ;Régnier, Henri de (1864-1936);Mercure de France (Paris);1925;"['1 vol. (269 p.) ; in-8', 'Nombre total de vues : 292']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32561237w;Bibliothèque nationale de France, département Littérature et art, 8-Z-32507;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;800;monographie;99190;25.01.2016 00:00;56d9612e-c709-4c87-81fd-6c69a1139af9;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Artaud_Le théâtre et son double;ark__12148_bpt6k856920z;https://gallica.bnf.fr/ark:/12148/bpt6k856920z;Le théâtre et son double ;Artaud, Antonin (1896-1948);Gallimard (Paris);1938;"['1 vol. (154 p.) ; 19 cm', 'Nombre total de vues : 180']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35743215d;Bibliothèque nationale de France, département Littérature et art, 8-Y-639;"['Collection : Métamorphoses ; 4', 'Collection : Métamorphoses ; 4', 'Avec mode texte']";bnf.fr;70;790;monographie;88190;30.12.2018 00:00;fe448556-62cc-4836-b3b3-fcdc1c62b02d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Rolland_Le Voyage intérieur ;ark__12148_bpt6k42235934;https://gallica.bnf.fr/ark:/12148/bpt6k42235934;Le Voyage intérieur ;Rolland, Romain (1866-1944);(Paris);1942;['241 p.', 'Nombre total de vues : 250'];['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb354764164;Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-949;Avec mode texte;bnf.fr;80;800;monographie;89380;02.12.2019 00:00;7deed420-ba1d-48af-9dca-b8f2793bf202;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
France_Alfred de Vigny ;ark__12148_bpt6k6350954z;https://gallica.bnf.fr/ark:/12148/bpt6k6350954z;Alfred de Vigny : étude ;France, Anatole (1844-1924);Bachelin-Deflorenne (Paris);1868;"['1 vol. (VI-152 p.) : front. gravé ; in-16', 'Nombre total de vues : 174']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30457673n;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-24053;Avec mode texte;bnf.fr;90;900;monographie;99570;29.10.2012 00:00;7825423d-bca0-40cc-ba29-ef59ca059279;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Régnier_Romaine Mirmault ;ark__12148_bpt6k4113143;https://gallica.bnf.fr/ark:/12148/bpt6k4113143;Romaine Mirmault : roman ;Régnier, Henri de (1864-1936);(Paris);1914;"['1 vol. (383 p.) ; 19 cm', 'Nombre total de vues : 383']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb365687245;Bibliothèque nationale de France;;bnf.fr;80;840;monographie;98330;02.10.2008 00:00;60bdc59d-fb90-4464-99a8-318c4c7909de;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Régnier_Le divertissement provincial ;ark__12148_bpt6k411312b;https://gallica.bnf.fr/ark:/12148/bpt6k411312b;Le divertissement provincial : roman ;Régnier, Henri de (1864-1936);(Paris);1925;"['1 vol. (319 p.) ; 19 cm', 'Nombre total de vues : 321']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31189139t;Bibliothèque nationale de France;['Collection : Le Roman littéraire', 'Collection : Le Roman littéraire'];bnf.fr;80;840;monographie;99250;15.10.2007 00:00;c2e4d03d-06d0-497c-b900-64925c8e8b38;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Valéry_Variété III ;ark__12148_bpt6k939071t;https://gallica.bnf.fr/ark:/12148/bpt6k939071t;Variété III ;Valéry, Paul (1871-1945);(Paris);1936;"['1 vol. (311 p.) ; in-16', 'Nombre total de vues : 330']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31521095j;Bibliothèque nationale de France, département Littérature et art, 8-Z-27287 (3);Avec mode texte;bnf.fr;80;840;monographie;89540;11.01.2016 00:00;fb67a3e2-6677-4cf9-a6d1-5d760f4703c4;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Valéry_L'idée fixe;ark__12148_bpt6k4221442v;https://gallica.bnf.fr/ark:/12148/bpt6k4221442v;"L'idée fixe ; suivie de Socrate et son médecin ";Valéry, Paul (1871-1945);(Paris);1946;"['1 vol. (179 p.) ; gr. in-8', 'Nombre total de vues : 208']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31521141w;Bibliothèque nationale de France, département Littérature et art, 4-Z-3931;Avec mode texte;bnf.fr;80;800;monographie;89210;04.11.2019 00:00;303e6737-3653-45cd-90f1-6a94bca22809;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Valéry_Variété V ;ark__12148_bpt6k939073k;https://gallica.bnf.fr/ark:/12148/bpt6k939073k;Variété V ;Valéry, Paul (1871-1945);(Paris);1944;"['1 vol. (327 p.) ; in-16', 'Nombre total de vues : 352']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31521098k;Bibliothèque nationale de France, département Littérature et art, 8-Z-27287 (5);Avec mode texte;bnf.fr;80;840;monographie;89460;11.01.2016 00:00;53a34f7d-4fa1-495d-87ac-b7c226e4caca;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Rolland_Jean-Christophe. L'adolescent. La révolte ;ark__12148_bpt6k9782162s;https://gallica.bnf.fr/ark:/12148/bpt6k9782162s;Jean-Christophe. L'adolescent. La révolte ;Rolland, Romain (1866-1944);A. Michel (Paris);1931-1934;"['5 vol. ; in-8', 'Nombre total de vues : 560']";fre;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31238589c'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31238589c']'';Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-13;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;840;monographie;99840;19.09.2017 00:00;d85a84be-839b-462d-b64d-1986bb23c6a9;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Péguy_Victor-Marie, comte Hugo ;ark__12148_bpt6k9621912f;https://gallica.bnf.fr/ark:/12148/bpt6k9621912f;Victor-Marie, comte Hugo ;Péguy, Charles (1873-1914);Gallimard (Paris);1934;['In-16, 243 p.', 'Nombre total de vues : 260'];fre;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb145081165', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb310728537'];Bibliothèque nationale de France, département Littérature et art, 8-Z-26694;['[Victor-Marie, comte Hugo (français)]', 'Avec mode texte'];bnf.fr;80;800;monographie;99580;28.12.2015 00:00;a824fb0e-c225-44e1-94d6-415d19273026;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Rolland_L'Âme enchantée. II, L'Été ;ark__12148_bd6t5372167v;https://gallica.bnf.fr/ark:/12148/bd6t5372167v;L'Âme enchantée. II, L'Été ;Rolland, Romain (1866-1944);P. Ollendorff (Paris);1923;"['1 vol. (354 p.) ; 20 cm', 'Nombre total de vues : 372']";fre;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb34334101n'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119584060', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb350546101']'';Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-685;''[''''[L'âme enchantée (français). Extrait]'''', 'Avec mode texte']'';bnf.fr;80;890;monographie;89450;12.04.2022 00:00;212d3101-382e-4b09-8644-a8d432123cce;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Péguy_Les tapisseries ;ark__12148_bpt6k9609360c;https://gallica.bnf.fr/ark:/12148/bpt6k9609360c;Les tapisseries : Ève ;Péguy, Charles (1873-1914);Gallimard (Paris);1933;"['1 vol. (327 p.) ; in-16', 'Nombre total de vues : 336']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31072848n;Bibliothèque nationale de France, département Littérature et art, 8-YE-13518;Avec mode texte;bnf.fr;80;840;monographie;99610;14.09.2015 00:00;b8de8a68-2311-4a44-91a5-f031da7723d9;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barrès_Greco ou Le secret de;ark__12148_bpt6k6225181k;https://gallica.bnf.fr/ark:/12148/bpt6k6225181k;Greco ou Le secret de Tolède (Nouvelle édition augmentée de quelques pages inédites avec 16 reproductions hors texte) ;Barrès, Maurice (1862-1923);(Paris);1923;"['1 vol. (181 p.-16 f. de pl.) : ill. ; in-16', 'Nombre total de vues : 230']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31766204b;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-OO-1653 (A);['Appartient à l’ensemble documentaire : GTextes1', 'Contient une table des matières', 'Avec mode texte', 'Descriptions et voyages -- +* 1900......- 1999......+:20e siècle:'];bnf.fr;90;910;monographie;99960;13.06.2012 00:00;1878709a-4fb1-4230-bfdc-2c9400802152;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Giraudoux_L'impromptu de Paris ;ark__12148_bpt6k9782127b;https://gallica.bnf.fr/ark:/12148/bpt6k9782127b;L'impromptu de Paris : pièce en un acte ;Giraudoux, Jean (1882-1944);B. Grasset (Paris);1937;"['1 vol. (141 p.) ; 18 cm', 'Nombre total de vues : 160']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb321699194;Bibliothèque nationale de France, département Littérature et art, 8-YTH-41499;Avec mode texte;bnf.fr;70;790;monographie;9980;19.09.2017 00:00;25054451-e1f8-4163-b085-8528070400f9;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_Les enchaînements;ark__12148_bpt6k809003;https://gallica.bnf.fr/ark:/12148/bpt6k809003;Les enchaînements : roman. 1 ;Barbusse, Henri (1873-1935);(Paris);1925;"['2 vol. ; in-8', 'Nombre total de vues : 290']";['fre', 'français'];''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31761551g'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761551g']'';Bibliothèque nationale de France, département Littérature et art, 8-Y2-69657 (1);Contient une table des matières;bnf.fr;80;840;monographie;0;15.10.2007 00:00;6c1a2eb0-8103-49d6-9cc1-5d15d6d2ba20;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Giraudoux_Littérature ;ark__12148_bpt6k96916768;https://gallica.bnf.fr/ark:/12148/bpt6k96916768;Littérature ;Giraudoux, Jean (1882-1944);B. Grasset (Paris);1943;"['1 vol. (268 p.) ; 19 cm', 'Nombre total de vues : 296', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34815375f;Bibliothèque nationale de France, département Littérature et art, 16-YE-8558;['Contient une table des matières', 'Avec mode texte'];bnf.fr;80;840;monographie;9900;27.06.2016 00:00;e2a9228d-c6a6-49bc-bfab-a5034eb2159c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Régnier_La peur de l'amour ;ark__12148_bpt6k9690500g;https://gallica.bnf.fr/ark:/12148/bpt6k9690500g;La peur de l'amour : roman ;Régnier, Henri de (1864-1936);A. Plicque (Paris);1925;"['1 vol. (285 p.) : fig. ; in-8', 'Nombre total de vues : 316']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb311892122;Bibliothèque nationale de France, département Littérature et art, 8-Y2-70019;Avec mode texte;bnf.fr;80;840;monographie;99960;22.05.2016 00:00;6537fdf1-6178-44d7-bf3e-94b836cb7482;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Daumal_La grande beuverie ;ark__12148_bpt6k9629019q;https://gallica.bnf.fr/ark:/12148/bpt6k9629019q;La grande beuverie ;Daumal, René (1908-1944);(Paris);1939;"['1 vol. (156 p.) ; in-16', 'Nombre total de vues : 184']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31997217w;Bibliothèque nationale de France, département Littérature et art, 8-Y2-85834;"''['Collection : Collection ''''Métamorphoses'''' ; VI', 'Collection : Collection ''''Métamorphoses'''' ; VI', 'Contient une table des matières', 'Avec mode texte']''";bnf.fr;80;840;monographie;99520;08.02.2016 00:00;cabd32a4-7ee1-46c1-9d20-22df611df1cb;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
