Dateiname;Ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;sdewey;dewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
Miomandre_L'amour de mademoiselle Duverrier :;ark__12148_bd6t53688437;https://gallica.bnf.fr/ark:/12148/bd6t53688437;L'amour de mademoiselle Duverrier : roman ;Miomandre, Francis de (1880-1959);Ferenczi et fils (Paris);1932;"1 vol. (191 p.) : fig., pl. ; in-16, Nombre total de vues : 200";fre;Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb324537272, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb324537272;Bibliothèque nationale de France, département Littérature et art, 8-Z-22172 (140);"Collection : Le livre moderne illustré ; n° 140, Collection : Le livre moderne illustré ; n° 140, Avec mode texte";bnf.fr;840;80;monographie;89420;27.11.2021 23:00;6ff10edf-6cb3-45f6-a615-4c690b0111a5;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Contenson_Chrétiens et musulmans : voyages;ark__12148_bpt6k5810582s;https://gallica.bnf.fr/ark:/12148/bpt6k5810582s;Chrétiens et musulmans : voyages et études ;Contenson, Ludovic de (1861-1935);Plon-Nourrit (Paris);1901;"XV-279 p.-[2] f. de dépl. : cartes en coul. ; 19 cm, Nombre total de vues : 308";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35723872g;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-O2A-377;Contient une table des matières, Avec mode texte;bnf.fr;290;20;monographie;9730;21.02.2010 23:00;6773d116-683d-4067-a765-0e550ffe38fc;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Nerval_Le Marquis de Fayolle, par;ark__12148_bpt6k6132101n;https://gallica.bnf.fr/ark:/12148/bpt6k6132101n;Le Marquis de Fayolle, par Gérard de Nerval, terminé par Éd. Gorges;Nerval, Gérard de (1808-1855), Gorges, Édouard (1815-1894);Michel-Lévy frères (Paris);1856;In-18, 292 p., Nombre total de vues : 308, application/epub+zip;fre;Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb13602411v', Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31009504f;Bibliothèque nationale de France, département Littérature et art, Y2-38695;Le marquis de Fayolle (français), Appartient à l’ensemble documentaire : GTextes1, Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;99980;18.10.2010 22:00;32f4a4eb-a755-43db-9f0e-26e8036cf55a;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Baragnon_Plaidoyer prononcé à l'audience de;ark__12148_bpt6k55291190;https://gallica.bnf.fr/ark:/12148/bpt6k55291190;Plaidoyer prononcé à l'audience de la Cour d'assises de l'Isère, le 20 mai 1831, pour Charles Allègre, cultivateur, habitant à Nismes ;Baragnon, Pierre-Louis (1797-1871);impr. de Durand-Belle (Nismes);1831;"38 p. ; in-8, Nombre total de vues : 42";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300527402;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB51-676;Appartient à l’ensemble documentaire : RhoneAlp1, Avec mode texte;bnf.fr;340;30;monographie;99980;10.05.2009 22:00;8ad8a490-da88-4022-8415-2930c681deec;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Daudet_Contes du lundi ...;ark__12148_bpt6k5478171s;https://gallica.bnf.fr/ark:/12148/bpt6k5478171s;Contes du lundi ... ;Daudet, Alphonse (1840-1897);A. Lemerre (Paris);1873;"1 vol. (256 p.) ; in-18, Nombre total de vues : 268";['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb303026361, Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12320981p', Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb303026361;Bibliothèque nationale de France, département Littérature et art, Y2-26039;Contes du lundi (français), Appartient à l’ensemble documentaire : FranceJp0, Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99980;07.06.2009 22:00;09e732d3-ae6d-44b9-83b6-862dfdff53a3;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
P_Extrait du Journal de mes;ark__12148_bpt6k1075048g;https://gallica.bnf.fr/ark:/12148/bpt6k1075048g;Extrait du Journal de mes voyages, ou Histoire d'un jeune homme, pour servir d'ecole aux peres et meres. Tome 2 ;Pahin de La Blancherie (1752-1811);A Paris, chez les freres Debure, libraires, quai des Augustins. A Orléans, chez la veuve Rouzeau-Montaut, imprimeur du Roi. M. DCC. LXXV. Avec approbation, et privilege du Roi.;1775;"2 tomes (VI-XII-359 p., [1] f. de pl. ; [4]-382-[4]-XVII p.) : ill. ; in-12, Nombre total de vues : 425, application/epub+zip 3.0 accessible, Format adaptable de type XML DTBook, 2005-3";fre;Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31050115v, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31050115v;Bibliothèque nationale de France, département Réserve des livres rares, R-45584;Avec mode texte;bnf.fr;;;monographie;10000;27.09.2015 22:00;13ccd470-aae8-4a5e-b82d-a42ba138ba35;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Ménard_Prologue d'une révolution, février-juin 1848;ark__12148_bpt6k678948;https://gallica.bnf.fr/ark:/12148/bpt6k678948;Prologue d'une révolution, février-juin 1848 ;Ménard, Louis (1822-1901);Paris;1849;"1 vol. (316 p.) ; in-8, Nombre total de vues : 320";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30924359s;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Lb52-11;Contient une table des matières;bnf.fr;9440;90;monographie;90520;14.10.2007 22:00;b6f3a862-d7e5-4d4d-8cc3-8253275c08a2;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Parent_Étude sur la tuberculose de;ark__12148_bpt6k55021784;https://gallica.bnf.fr/ark:/12148/bpt6k55021784;Étude sur la tuberculose de la glande parotide, par le Dr L.-P. Parent, ...;Parent, Louis Pierre (Dr);G. Steinheil (Paris);1898;In-8° , 87 p., Nombre total de vues : 92;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb310583698;Bibliothèque nationale de France, département Sciences et techniques, 8-TD106-162;Contient une table des matières, Avec mode texte;bnf.fr;610;60;monographie;97170;28.06.2009 22:00;b5288fca-70a2-4fa6-8068-499cf71f5c5b;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
L'Hermier des Plantes_Station électro-minérale-statique méridionale de Vals,;ark__12148_bpt6k6133629r;https://gallica.bnf.fr/ark:/12148/bpt6k6133629r;Station électro-minérale-statique méridionale de Vals, Neyrac et Alais. De l'Électricité statique médicale et de son application ... aux eaux minérales de Vals et Neyrac ... selon la méthode du professeur C. Beckensteiner, par le Dr L'Herbier sic Des Plantes de Serres, ...;L'Hermier des Plantes, Marie-Joseph-Louis-Pierre-Émile;(Alais);1878;In-8° , 112 p., Nombre total de vues : 116;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb308139752;Bibliothèque nationale de France, département Sciences et techniques, 8-TE163-1860 (2);Avec mode texte;bnf.fr;500;50;monographie;92920;29.08.2010 22:00;e65bcc0e-c511-4a06-85ed-a4991b34d433;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Jordan_Discours de Camille Jordan, précédés;ark__12148_bpt6k97081025;https://gallica.bnf.fr/ark:/12148/bpt6k97081025;"Discours de Camille Jordan, précédés de son éloge par M. Ballenche, d'une lettre de M. le Baron Degerando sur sa vie privée ; suivis de fragmens inédits et des discours qui ont été prononcés sur sa tombe par MM. Royer-Collard et de Saint-Aulaire ; et ornés de son portrait et d'un fac-simile de son écriture";Jordan, Camille (1771-1821), Ballanche, Pierre-Simon (1776-1847), Gérando, Joseph-Marie de (1772-1842), Royer-Collard, Pierre-Paul (1763-1845), Sainte-Aulaire, Louis-Clair Beaupoil de (1778-1854);Paris;1826;"[1]-LX-367-[1] p., front. ; in-8, Nombre total de vues : 458";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31266028x;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LE59-33;"Comprend : Éloge de Camille Jordan ; Lettre a M. Ballanche ; Discours prononcé sur la tombe de Camille-Jordan... ; Discours prononcé par M. de Saint-Aulaire, Contient une table des matières, Avec mode texte";bnf.fr;320;30;monographie;98770;11.07.2016 22:00;af35a94c-9532-4edf-9d14-d793ed5f5944;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Touquet_Procès de L'Évangile (partie morale;ark__12148_bpt6k425021q;https://gallica.bnf.fr/ark:/12148/bpt6k425021q;Procès de L'Évangile (partie morale et historique) . 5e livraison de la Bibliothèque populaire. Première partie par Touquet;Touquet, Jean-Baptiste-Pierre-Louis (1775-1836);Paris;1826;"150 p. ; in-8, Nombre total de vues : 157";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31484670n;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB49-462;Avec mode texte;bnf.fr;340;30;monographie;80050;09.04.2008 22:00;f197851f-25ae-4543-82d0-9bd2af864158;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Mondan_Recherches expérimentales et cliniques sur;ark__12148_bpt6k97650385;https://gallica.bnf.fr/ark:/12148/bpt6k97650385;Recherches expérimentales et cliniques sur les atrophies des membres dans les affections chirurgicales (système musculaire et système osseux) : thèse présentée à la Faculté de médecine et de pharmacie de Lyon ... ;Mondan, Pierre-Louis-Gabriel (1856-1924);Typographie et lithographie Jules Céas et fils (Valence);1882;"1 vol. (255 p.) ; in-4, Nombre total de vues : 268";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb369130925;Bibliothèque de l'Université Claude Bernard Lyon 1, 2016-313996;Avec mode texte;bnf.fr;610;60;monographie;99310;14.02.2017 23:00;fe64d3a0-0437-480c-830a-e9c4057cfc6f;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Ménard_Tableau historique des beaux-arts, depuis;ark__12148_bpt6k6576728p;https://gallica.bnf.fr/ark:/12148/bpt6k6576728p;Tableau historique des beaux-arts, depuis la Renaissance jusqu'à la fin du dix-huitième siècle, par MM. Louis et René Ménard ...;Ménard, Louis (1822-1901), Ménard, René (1827-1887);Didier (Paris);1866;In-8° , XXIV-412 p., Nombre total de vues : 451, application/epub+zip;fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30924415f;Bibliothèque nationale de France, département Littérature et art, V-46512;Appartient à l’ensemble documentaire : GTextes1, Contient une table des matières, Avec mode texte;bnf.fr;700;70;monographie;99990;06.03.2014 23:00;c1476b53-77a6-44fc-98fb-cd4c6e3648ab;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Brissot-Thivars_Mémoires du capitaine Péron, sur;ark__12148_bpt6k42233424;https://gallica.bnf.fr/ark:/12148/bpt6k42233424;Mémoires du capitaine Péron, sur ses voyages aux côtes d'Afrique, en Arabie, à l'île d'Amsterdam ... (Rédigés par L.-S. Brissot-Thivars.). Tome 2;Brissot-Thivars, Louis-Saturnin (1792-1850), Péron, Pierre-François (1769-1840);Paris;1824;2 vol. in-8°, Nombre total de vues : 384;['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30162975n, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30162975n;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, G-27524;Avec mode texte;bnf.fr;900;90;monographie;86940;30.11.2019 23:00;364fe1ce-59c8-455a-8f58-d11839edb63d;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Peladan_Le vice suprême : roman;ark__12148_bpt6k811662;https://gallica.bnf.fr/ark:/12148/bpt6k811662;Le vice suprême : roman (8e édition) ;Peladan, Joséphin (1858-1918);Paris;1926;"1 vol. (399 p.) ; in-16, Nombre total de vues : 404";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb310738315;Bibliothèque nationale de France, département Littérature et art, 8-Y2-71712;Contient une table des matières;bnf.fr;840;80;monographie;88160;14.10.2007 22:00;f95eb935-db34-4761-b3dd-91d7fa8dc19c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Poivre_Oeuvres complettes de P. Poivre;ark__12148_bpt6k104397z;https://gallica.bnf.fr/ark:/12148/bpt6k104397z;Oeuvres complettes de P. Poivre , ... précédées de sa vie par P.-S. Dupont de Nemours et accompagnées de notes et d'une préface signée : L. L. (Louis-Mathieu Langlès);Poivre, Pierre (1719-1786), Sonnerat, Pierre (1748-1814);Paris;1797;"IV-310 p. ; in-8, Nombre total de vues : 315";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31129752f;Bibliothèque nationale de France;Comprend : Extrait du Voyage aux Indes et à la Chine. T. I, Appartient à l’ensemble documentaire : Sinica1;bnf.fr;940;90;monographie;9140;14.10.2007 22:00;f882aea1-77ac-43b3-bbcb-7b9d6e63f43a;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
O'Neddy_Poésies posthumes;ark__12148_bpt6k57499651;https://gallica.bnf.fr/ark:/12148/bpt6k57499651;Poésies posthumes ;''O'Neddy, Philothée (1811-1875)'''', 'Havet, Ernest (1813-1899)'';G. Charpentier (Paris);1877;"1 vol. (496 p.) ; in-18, Nombre total de vues : 506";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb303478745;Bibliothèque nationale de France, département Littérature et art, YE-29313;Comprend : Notice sur Théophile Dondey / par Ernest Havet, Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;93980;22.11.2009 23:00;3edef212-a5b8-4a21-9a67-75cc122ce194;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Gondret_Considérations sur l'emploi du feu;ark__12148_bpt6k878964w;https://gallica.bnf.fr/ark:/12148/bpt6k878964w;Considérations sur l'emploi du feu en médecine, suivies de l'exposé d'un moyen épispastique propre à suppléer la cautérisation et à remplacer l'usage des cantharides, avec le rapport de MM. Portal, Percy et Thénard, ... par Louis-François Gondret, ...;Gondret, Louis-François (1776-1855), Percy, Pierre-François (1754-1825);Paris;1819;In-8° , XVI-94 p., Nombre total de vues : 122;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb305216325;Bibliothèque nationale de France;Comprend : Rapport, Avec mode texte;bnf.fr;;;monographie;87960;31.03.2018 22:00;18219e46-e6dc-451a-bff6-6a476bd6d4ba;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Desbordes-Valmore_Oeuvres choisies de Marceline Desbordes-Valmore,;ark__12148_bpt6k42230171;https://gallica.bnf.fr/ark:/12148/bpt6k42230171;Oeuvres choisies de Marceline Desbordes-Valmore, avec études et notices par Frédéric Loliée;Desbordes-Valmore, Marceline (1786-1859), Loliée, Frédéric (1856-1915);;1909;Nombre total de vues : 344;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb320198785;Bibliothèque nationale de France, département Littérature et art, 8-Z-17673;Comprend : Études et notices, Avec mode texte;bnf.fr;800;80;monographie;89080;30.11.2019 23:00;f8d8001e-9703-4c8e-977c-09402486df93;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Daudet_Le petit Chose : histoire;ark__12148_bpt6k54737074;https://gallica.bnf.fr/ark:/12148/bpt6k54737074;Le petit Chose : histoire d'un enfant (6e édition) ;Daudet, Alphonse (1840-1897);J. Hetzel (Paris);1873;"1 vol. (370 p.) ; in-18, Nombre total de vues : 390";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb41463930p;Bibliothèque nationale de France, département Littérature et art, Y2-26056;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99980;09.03.2009 23:00;25c6736b-e548-4a4b-ad7e-2b3fea078642;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Belbeuf_De la noblesse française en;ark__12148_bpt6k2098070;https://gallica.bnf.fr/ark:/12148/bpt6k2098070;De la noblesse française en 1861 ;"Belbeuf, Antoine Louis Pierre Joseph Godart (1791-1872 ; marquis de)";Paris;1861;"48 p. ; 23 cm, Nombre total de vues : 47";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300783984;Bibliothèque nationale de France;;bnf.fr;9440;90;monographie;93420;14.10.2007 22:00;3609b645-2fcb-47cc-9ae5-1e1dd2f9a2a4;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Balzac_Contes de toutes les couleurs.;ark__12148_bpt6k30420981;https://gallica.bnf.fr/ark:/12148/bpt6k30420981;Contes de toutes les couleurs. Tome I;"Balzac, Honoré de (1799-1850), Brot, Alphonse (1807-1895), Sedgwick, Miss, Rabou, Charles (1803-1871), Bawr, Alexandrine-Sophie de (1773-1860 ; baronne), Janin, Jules (1804-1874), Buzoni, Philippe, Disant, Edouard, Sands";Paris;1832;"1 vol. (VIII-424 p.) ; in-8, Nombre total de vues : 456";fre;Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb455556943, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31756743d;Bibliothèque nationale de France, département Littérature et art, Y2-64895;"Comprend : Le comte Chabert / par H. de Balzac ; La cheminée italienne ; Perdita ; La danse des morts ; Le schelling / par Mme de Bawr ; D'heureux jours en 93 souvenirs / par M. X. ; Antoine Pinchon ; Lorenzo Sampierra ; Episode de la vie d'un pacha ; L'île des fleurs, 'Avec mode texte";bnf.fr;800;80;monographie;75660;16.02.2019 23:00;7a77a2bd-7b30-45a1-8dfa-d73c99267473;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Maingault_Mémoire sur le vomissement, contradictoire;ark__12148_bpt6k6299022j;https://gallica.bnf.fr/ark:/12148/bpt6k6299022j;Mémoire sur le vomissement, contradictoire à celui de M. Magendie, par M. Maingault, ...;Maingault, Louis Pierre (1783-1839);Gabon (Paris);1813;In-8° , II-20 p., Nombre total de vues : 34;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb308622392;Bibliothèque nationale de France, département Sciences et techniques, 8-TB29-5 (B);Avec mode texte;bnf.fr;570;50;monographie;99960;10.10.2012 22:00;4b5c4aa3-f239-42ee-a240-a3bf14fa44f8;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Balzac_Contes philosophiques;ark__12148_bpt6k859895s;https://gallica.bnf.fr/ark:/12148/bpt6k859895s;Contes philosophiques ;Balzac, Honoré de (1799-1850), Chasles, Philarète (1798-1873);C. Gosselin (Paris);1832;"1 vol. (388 p.) : fig. ; in-8, Nombre total de vues : 442";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300513981;Bibliothèque nationale de France, département Littérature et art, Y2-15591;Comprend : Introduction aux romans et contes philosophiques, Avec mode texte;bnf.fr;840;80;monographie;87820;05.07.2015 22:00;ae855530-d97a-469c-b3af-98e5a111a2df;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Pros_La Goutte expliquée aux goutteux,;ark__12148_bpt6k57724382;https://gallica.bnf.fr/ark:/12148/bpt6k57724382;La Goutte expliquée aux goutteux, son nouveau traitement hygiénique, curatif et préservatif ... par le Dr Pros, ...;Pros, Pierre Louis Eugène (Dr);(Tours);1859;In-8° , 97 p., Nombre total de vues : 104;fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31154093h;Bibliothèque nationale de France, département Sciences et techniques, 8-TE107-131;Avec mode texte;bnf.fr;610;60;monographie;96920;28.12.2009 23:00;5fe00bc1-fd4f-4921-8d73-f7818fd80683;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Mongruel_Magnétisme et somnambulisme;ark__12148_bpt6k6266270j;https://gallica.bnf.fr/ark:/12148/bpt6k6266270j;Magnétisme et somnambulisme ;Mongruel, Louis-Pierre (1816?-);impr. de Cosson (Paris);1848;"4 p. ; in-8, Nombre total de vues : 12";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30963018z;Bibliothèque nationale de France, département Sciences et techniques, 8-TB64-188;Avec mode texte;bnf.fr;130;10;monographie;99930;05.08.2012 22:00;f388c604-ba08-414f-8751-a7792907a69c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bayle_Névrites puerpérales (grossesse et puerpérium);ark__12148_bpt6k9799497g;https://gallica.bnf.fr/ark:/12148/bpt6k9799497g;Névrites puerpérales (grossesse et puerpérium);Bayle, Louis-Pierre;;1896;In-8 °, Nombre total de vues : 168;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb368527977;Bibliothèque de l'Université Claude Bernard Lyon 1, 2017-185626;Contient une table des matières, Avec mode texte;bnf.fr;610;60;monographie;99420;18.09.2017 22:00;0efa6b69-14f2-4854-9863-73afe807ce28;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Jay_Dictionnaire général et raisonné des;ark__12148_bpt6k6366660s;https://gallica.bnf.fr/ark:/12148/bpt6k6366660s;Dictionnaire général et raisonné des justices de paix en matière civile, administrative, de simple police et d'instruction criminelle. Tome 3 ;Jay, Joseph-Laurent (1806-1875);['Annales des justices de paix (Paris)', 'A. Durand (Paris)'];1859;"4 vol. ; in-8, Nombre total de vues : 544";fre;Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb307801800, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb307801800;Bibliothèque nationale de France, département Droit, économie, politique, F-36885;Avec mode texte;bnf.fr;340;30;monographie;99960;18.11.2012 23:00;b6d833c6-6fd6-41f7-9691-27539cfe41c5;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Julliot_Traité-formulaire des titres nominatifs et;ark__12148_bpt6k6332400r;https://gallica.bnf.fr/ark:/12148/bpt6k6332400r;Traité-formulaire des titres nominatifs et des certificats de propriété (loi du 26 mars 1927). Mutations. Transferts. Conversions et Remboursements des rentes sur l'État. Actions. Parts de fondateur et Obligations françaises et étrangères. Livrets des Caisses d'épargne et de la Caisse nationale des retraites pour la vieillesse. Cautionnements. Pensions. Traitements, etc.. Tome 1 ;Julliot, Charles-Louis (1871-1940);['Libr. des Juris-Classeurs (Paris)', 'éditions Godde (Paris)'];1931;"3 vol. (880, 903, 673 p.) ; in-8°, Nombre total de vues : 894";['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb32294158d, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32294158d;Bibliothèque nationale de France, département Droit, économie, politique, 4-F-2686 (1);Contient une table des matières, Avec mode texte;bnf.fr;340;30;monographie;99960;23.10.2012 22:00;754d71e7-d81b-4bb6-8364-9965862fd7cd;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Desfontaines_Histoire de la ville de;ark__12148_bpt6k9778647d;https://gallica.bnf.fr/ark:/12148/bpt6k9778647d;Histoire de la ville de Paris ... par l'abbé P.-F. Guyot-Desfontaines, J. du Castre d'Auvigny et L.-F.-J. de la Barre. Tome 5;''Desfontaines, Pierre-François Guyot (1685-1745)', ''''Auvigny, Jean Du Castre de (1712-1743)'''', 'La Barre, Louis-François-Joseph de (1688-1738), Desfontaines, Pierre-François Guyot (1685-1745)'';;1735;Nombre total de vues : 578;fre;Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb32331699k, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32331699k;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Z LE SENNE-13663 (5);Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;9060;21.05.2017 22:00;4e9b6c81-774c-4d37-b50a-4d6230033ac9;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Daudet_Le Nabab : moeurs parisiennes;ark__12148_bpt6k58087069;https://gallica.bnf.fr/ark:/12148/bpt6k58087069;Le Nabab : moeurs parisiennes (43e édition) ;Daudet, Alphonse (1840-1897);G. Charpentier (Paris);1878;"1 vol. (V-508 p.) ; in-18, Nombre total de vues : 523";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb42522897x;Bibliothèque nationale de France, département Littérature et art, 8-Y2-1598;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;97360;07.02.2010 23:00;83575395-d41b-4a98-b294-59996327c0a9;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
La Mennais_Les chefs-d'oeuvre de la littérature;ark__12148_bpt6k5812853q;https://gallica.bnf.fr/ark:/12148/bpt6k5812853q;Les chefs-d'oeuvre de la littérature et de l'illustration;La Mennais, Félicité de (1782-1854), La Mennais, Félicité de (1782-1854), La Mennais, Félicité de (1782-1854), Nodier, Charles (1780-1844), Nodier, Charles (1780-1844);Impr. S. Raçon (Paris);1851;"6 fasc. : fig. ; gr. in-8, Nombre total de vues : 246";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb33297618d;Bibliothèque nationale de France, département Littérature et art, Z-7928;"Comprend : Paroles d'un croyant / par F. Lamennais ; dessins de J. A. Beaucé ; Le livre du peuple / par F. Lamennais ; Une voix de prison. De l'esclavage moderne / par F. Lamennais ; Les saints évangiles / traduction nouvelle par F. Lamennais ; Contes de Charles Nodier / dessins par H. Emy ; Contes de Charles Nodier, 'Avec mode texte";bnf.fr;800;80;monographie;96420;21.02.2010 23:00;46129c6c-cbb9-418d-9f46-fbdd065284bf;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
