Dateiname	ark	dc:identifier	dc:title	dc:creator	dc:publisher	dc:date	dc:format	dc:language	dc:relation	dc:source	dc:description	provenance	sdewey	dewey	typedoc	nqamoyen	first_indexation_date	Pfad	GUID
Mirabeau_Sur la liberté de la	ark__12148_bpt6k5832470d	https://gallica.bnf.fr/ark:/12148/bpt6k5832470d	Sur la liberté de la presse, imité de l'anglois de Milton , par le Cte de Mirabeau...	Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791)	s.n. (Londres)	1788	66 p. ; in-8, Nombre total de vues : 69	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30951850z	Bibliothèque nationale de France, département Droit, économie, politique, E*-4880	Avec mode texte	bnf.fr	8.0	0.0	monographie	8486.0	2010-05-16T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5832470d.html	9d89ca29-c9ff-4901-9071-1c732f2f2fdb
Rousseau_Oeuvres complètes de J.-J. Rousseau,	ark__12148_bpt6k14111870	https://gallica.bnf.fr/ark:/12148/bpt6k14111870	Oeuvres complètes de J.-J. Rousseau, avec des notes historiques [d'après Petitain et Musset-Pathay]	Rousseau, Jean-Jacques (1712-1778)	A. Houssiaux (et Furne) (Paris)	1846-1852	''''''Gr. in-8° , portrait daprès Hopwood. (Dufour, nos 428-429)'''', Nombre total de vues : 814''	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb312571314	Bibliothèque nationale de France, département Littérature et art, Z-9997	Avec mode texte	bnf.fr			monographie	8814.0	2016-08-28T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k14111870.html	26905b5a-cc97-41dd-8a73-bb469fa9ea50
Mirabeau_Travail sur l'éducation publique, trouvé	ark__12148_bpt6k3043876h	https://gallica.bnf.fr/ark:/12148/bpt6k3043876h	Travail sur l'éducation publique, trouvé dans les papiers de Mirabeau l'aîné ; publié par P. J. G. Cabanis,...	Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791)	Impr. nationale (Paris)	1791	206 p. ; in-8, Nombre total de vues : 206	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30951867p	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, R-44018	Avec mode texte	bnf.fr	37.0	3.0	monographie	8777.0	2019-03-16T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k3043876h.html	8eb1dc3b-39b4-497e-94bd-810ef8caded9
Rousseau_Troisième partie des confessions de	ark__12148_bpt6k6351384b	https://gallica.bnf.fr/ark:/12148/bpt6k6351384b	Troisième partie des confessions de Jean-Jacques Rousseau 	Rousseau, Jean-Jacques (1712-1778)	(Clermont-Ferrand)	1865	In-18, Pièce, Nombre total de vues : 44	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34180418x	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-22634	Appartient à l’ensemble documentaire : Auvergn1, Avec mode texte, Autobiographie	bnf.fr	92.0	9.0	monographie	985.0	2012-10-23T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6351384b.html	aa8da66b-aa37-4b53-91a0-5e813acea826
Montesquieu (1689-1755)_Lettres persanes, de Montesquieu, précédées	ark__12148_bpt6k6334100b	https://gallica.bnf.fr/ark:/12148/bpt6k6334100b	Lettres persanes, de Montesquieu, précédées de son Éloge, par d'Alembert	Montesquieu (1689-1755), Alembert, D (1717-1783)]	(Paris)	1828	In-8° , XXXIX-411 p., Nombre total de vues : 474	français	['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119437548', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb309704323']	Bibliothèque nationale de France, département Littérature et art, Z-15251	Lettres persanes (français), Comprend : Éloge de Montesquieu, Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	9996.0	2012-10-23T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6334100b.html	a2ced414-7bca-4c97-a688-9f2c5ca1325c
Choderlos de Laclos_Les grands hommes du jour	ark__12148_bpt6k402815	https://gallica.bnf.fr/ark:/12148/bpt6k402815	Les grands hommes du jour ([Reprod.]) 	Choderlos de Laclos, Pierre-Ambroise-François (1741-1803), Rivarol, Antoine de (1753-1801), Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791)	s.n.s.n.	1790-1791	6 microfiches ; 105*148 mm, Nombre total de vues : 163	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb37277047g	Bibliothèque nationale de France	Collection : Les archives de la Révolution française ; 6.2.729, Collection : Les archives de la Révolution française ; 6.2.729, Contient une table des matières, Ouvrages avant 1800	bnf.fr	944.0	9.0	monographie	9544.0	2007-10-14T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k402815.html	16e83d67-50af-4456-844a-e965eb819016
Rousseau_Lettre à M. Grimm, au	ark__12148_bpt6k857224k	https://gallica.bnf.fr/ark:/12148/bpt6k857224k	Lettre à M. Grimm, au sujet des remarques ajoutées à sa lettre sur Omphale. [Par J.-J. Rousseau.]	Rousseau, Jean-Jacques (1712-1778)		1752	In-8° , 29 p. (Dufour, n 30.), Nombre total de vues : 39	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31257545x	Bibliothèque nationale de France, département Littérature et art, V-25320	Avec mode texte	bnf.fr			monographie	8166.0	2015-01-25T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k857224k.html	5a61890b-f3a5-4507-a9ca-3d04c5e4f874
V_Nouveaux Mélanges philosophiques, historiques, critiques,	ark__12148_bpt6k3172927	https://gallica.bnf.fr/ark:/12148/bpt6k3172927	Nouveaux Mélanges philosophiques, historiques, critiques, etc., etc. Neuvième [-Dix-neuvième] partie [Partie 14-19]	Voltaire (1694-1778)		1772	In-8°, Nombre total de vues : 413	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31602338j	Bibliothèque nationale de France, département Littérature et art, Z-24773	Etat de collection : Vol. 10, Avec mode texte	bnf.fr			monographie	8439.0	2017-07-10T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k3172927.html	2486cca0-194b-4261-ac30-00b37efaf783
V_Histoire de Charles XII, roi	ark__12148_bpt6k371335d	https://gallica.bnf.fr/ark:/12148/bpt6k371335d	Histoire de Charles XII, roi de Suède 	Voltaire (1694-1778)	(Paris)	1860	XXXVI-320 p. ; in-12, Nombre total de vues : 359	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb316046156	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-M-1748	Avec mode texte	bnf.fr	93.0	9.0	monographie	9981.0	2010-08-15T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k371335d.html	96232187-4920-4fcd-844e-e55f17de4021
Voltaire (1694-1778)_Le chapitre des beaux-arts du	ark__12148_bpt6k96133757	https://gallica.bnf.fr/ark:/12148/bpt6k96133757	Le chapitre des beaux-arts du siècle de Louis XIV de Voltaire : édition classique. précédée d'une étude sur Voltaire critique littéraire (Edition expurgée) 	Voltaire (1694-1778), Joran, Théodore (1858-19..)	Croville-Morant (Paris)	1906	1 vol. (103 p.) ; in-8, Nombre total de vues : 124	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31604806s	Bibliothèque nationale de France, département Littérature et art, 8-Z-16715	Comprend : Voltaire critique littéraire, Avec mode texte	bnf.fr	84.0	8.0	monographie	9889.0	2015-11-08T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k96133757.html	b7fef0d9-4149-4ce0-a527-d8763b48a32b
