Dateiname	ark	dc:identifier	dc:title	dc:creator	dc:publisher	dc:date	dc:format	dc:language	dc:relation	dc:source	dc:description	provenance	sdewey	dewey	typedoc	nqamoyen	first_indexation_date	Pfad	GUID
Tressan_Oeuvres diverses de M. le	ark__12148_bpt6k9692289t	https://gallica.bnf.fr/ark:/12148/bpt6k9692289t	Oeuvres diverses de M. le comte de Tressan,...	Tressan, Louis-Élisabeth de La Vergne (1705-1783 ; comte de)	(À Amsterdam et se trouve à Paris)	1776	VIII-476 p. ; in-8, Nombre total de vues : 496	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb314935334	Bibliothèque nationale de France, département Littérature et art, Z-29026	Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	950.0	2016-06-12T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9692289t.html	39a7c4ae-6141-4446-aa1c-405a0d362af5
_Encyclopédie ou Dictionnaire raisonné des	ark__12148_bpt6k505351	https://gallica.bnf.fr/ark:/12148/bpt6k505351	Encyclopédie ou Dictionnaire raisonné des sciences, des arts et des métiers. Tome troisième, Cha-Conjonctif 	V.A.	Briasson (Paris), David (puis), Le Breton, S. Faulche	1751-1765	168 microfiches de 98 images ; 105 x 148 mm	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb35153871q'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35153871q']''	Bibliothèque nationale de France	Collection : Archives de la linguistique française ; 118, Collection : Archives de la linguistique française ; 118, Encyclopédies	bnf.fr	3.0	0.0	monographie	9863.0	2007-10-14T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k505351.html	8cfc519d-289e-4ce8-8053-9ebdc427ecb0
Beaumarchais_Clavijo	ark__12148_bpt6k6544715m	https://gallica.bnf.fr/ark:/12148/bpt6k6544715m	Clavijo 	Beaumarchais, Pierre-Augustin Caron de (1732-1799)	Librairie des bibliophiles (Paris)	1880	1 vol. (XXXI-74 p.) ; in-16, Nombre total de vues : 118	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300727336	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-34558	''''''Collection : Les Petits chefs-doeuvre'''', ''''Collection : Les Petits chefs-doeuvre'''', Avec mode texte''	bnf.fr	92.0	9.0	monographie	9996.0	2013-07-30T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6544715m.html	cf342bb5-d151-4543-b367-37136a721edc
Krüdener_Valérie	ark__12148_bpt6k3043107v	https://gallica.bnf.fr/ark:/12148/bpt6k3043107v	Valérie 	Krüdener, Barbara Juliane von (1764-1824)	(Paris)	1878	1 vol. (339 p.) : pl., fac-sim., portr. ; in-8, Nombre total de vues : 380	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30697562w	Bibliothèque nationale de France, département Littérature et art, 8-Z-567 (5)	Collection : Petite bibliothèque de luxe ; 5, Collection : Petite bibliothèque de luxe ; 5, Avec mode texte	bnf.fr	80.0	8.0	monographie	8181.0	2019-02-26T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k3043107v.html	41af2c05-0276-467b-818c-38026d9382f1
Lambert (11)_Precis de la vie du	ark__12148_bpt6k5618994c	https://gallica.bnf.fr/ark:/12148/bpt6k5618994c	Precis de la vie du citoyen Lambert, depuis sa naissance jusqu'a ce jour . Suivi de quelques lettres de J. J. Rousseau, qui n'ont point encore été imprimées	Lambert (11), Rousseau, Jean-Jacques (1712-1778)		1793	36 p. ; in-8, Nombre total de vues : 40	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30726488s	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-11217	Comprend : Lettres de Jean-Jacques Rousseau, au citoyen Lenieps, père de la citoyenne Lambert, Avec mode texte	bnf.fr	35.0	3.0	monographie	9998.0	2009-12-27T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5618994c.html	f35788f7-b6a5-4de7-b7c2-765405a810e5
Gerard_Essai sur le goût ,	ark__12148_bpt6k97872544	https://gallica.bnf.fr/ark:/12148/bpt6k97872544	Essai sur le goût , par Alexandre Gérard,... Augmenté de trois dissertations sur le même sujet, par Mrs de Voltaire, d'Alembert et de Montesquieu : traduit sur la seconde édition angloise, par M. E***	Gerard, Alexander (1728-1795), Alembert, D (1717-1783), Montesquieu (1689-1755), Voltaire (1694-1778)	Delalain (Paris), Vve Coignard de la Pinelle et L. Frantin (Dijon)	1766	VIII-306-4 p. ; in-8, Nombre total de vues : 330	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30498075r	Bibliothèque nationale de France, département Littérature et art, Z-27577	''''''Comprend : Réflexions sur lusage et sur labus de la philosophie dans les matières de goût... ; Essai sur le goût... ; Essai sur le goût'''', Contient une table des matières, Avec mode texte''	bnf.fr	80.0	8.0	monographie	950.0	2017-07-16T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k97872544.html	7a8f2617-d990-4977-917d-29beb7807abb
Grimod de La Reynière_Le Gastronome français, ou L'art	ark__12148_bpt6k64847550	https://gallica.bnf.fr/ark:/12148/bpt6k64847550	Le Gastronome français, ou L'art de bien vivre , par les anciens auteurs du Journal des gourmands, MM. G. D. L. R***, D. D***, Gastermann, G***, Clytophon, Charles Sartrouville C. L. C***, C***, Marie de Saint-Ursin, B*** etc. : Ouvrage mis en ordre, accompagné de notes, de dissertations et d'observations par M. C***	Grimod de La Reynière, Alexandre-Balthazar-Laurent (1758-1837), Cadet de Gassicourt, Charles-Louis (1769-1821)	Paris. Charles-Béchet, libraire-commissionnaire, quai des Augustins, N° 57, près le Pont-Neuf. 1828	1828	VIII-503 p., frontisp. ; in-8, Nombre total de vues : 538, application/epub+zip	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb33400272w	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Z LE SENNE-13155	Appartient à l’ensemble documentaire : PatGourm, Contient une table des matières, Avec mode texte	bnf.fr	64.0	6.0	monographie	9999.0	2013-10-13T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k64847550.html	b722f084-2351-4f1d-a049-4f4e9ac96cba
Coriolis d'Espinouse_A l'ombre de Jacques Delille	ark__12148_bpt6k5447525s	https://gallica.bnf.fr/ark:/12148/bpt6k5447525s	A l'ombre de Jacques Delille , dithyrambe, par M. de Coriolis, suivi de Recherches sur la poésie dithyrambique, et de La messe de Minuit ; avec les deux notices de MM. Féletz et Michaud ; et quelques pièces inédites de J. Delille	Coriolis d'Espinouse, Charles Louis Alexandre (1770?-1841), Delille, Jacques (1738-1813), Féletz, Charles-Marie de (1767-1850), Michaud, Joseph-François (1767-1839)	(Paris)	1813	138 p. ; in-12, Nombre total de vues : 140	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30270504x	Bibliothèque nationale de France, département Littérature et art, YE-19101	Comprend : Pièces inédites ; Nécrologie ; Notice historique sur Jacques Delille, Contient une table des matières, Avec mode texte	bnf.fr	84.0	8.0	monographie	9171.0	2008-10-13T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5447525s.html	b3a37d60-1fee-45e0-a316-22d17585f59f
Marmontel_Mémoires	ark__12148_bpt6k6241762m	https://gallica.bnf.fr/ark:/12148/bpt6k6241762m	Mémoires 	Marmontel, Jean-François (1723-1799)	Firmin Didot frères (Paris)	1846	1 vol. (XI-446 p.) ; in-16, Nombre total de vues : 472	français	['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb17883642g', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30887870g']	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-L45-24 (5)	''Mémoires (français), ''''Collection : Bibliothèque des mémoires relatifs à lhistoire de France, pendant le 18e siècle ; 5'''', ''''Collection : Bibliothèque des mémoires relatifs à lhistoire de France, pendant le 18e siècle ; 5'''', Contient une table des matières, Avec mode texte''	bnf.fr	84.0	8.0	monographie	9996.0	2012-07-22T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6241762m.html	52a908ca-d85a-451e-b37a-fbc7e8000b58
Sayous_Le dix-huitième siècle à l'étranger	ark__12148_bpt6k96917771	https://gallica.bnf.fr/ark:/12148/bpt6k96917771	Le dix-huitième siècle à l'étranger : histoire de la littérature française dans les divers pays de l'Europe, depuis la mort de Louis XIV jusqu'à la Révolution française. Tome 1 	Sayous, André (1808-1870), Voltaire (1694-1778)	Amyot (Paris)	1861	2 vol. (VIII-470, 534 p.) ; in-8, Nombre total de vues : 492	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31307544q'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31307544q']''	Bibliothèque nationale de France, département Littérature et art, Z-59771	Comprend : Lettres à Théodore Tronchin, 2 août 1755, 22 juin 1764 et un billet non daté., Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	9893.0	2016-06-18T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k96917771.html	5864fa87-87fc-4be8-9778-0fe15aeac6d2
Roucher_Consolations de ma captivité, ou	ark__12148_bpt6k6471679v	https://gallica.bnf.fr/ark:/12148/bpt6k6471679v	Consolations de ma captivité, ou Correspondance de Roucher, mort victime de la tyrannie décemvirale, le 7 thermidor, an 2 de la République française . Premiere [-seconde] partie.	Roucher, Jean-Antoine (1745-1794)	A Paris, chez H. Agasse, imprimeur-libraire, rue des Poitevins, n°. 18. An VI de la République. (1797.)	1797	2 parties (4-302 p., 1 f. de pl. (portrait) ; 4-301 p.) ; in-8, Nombre total de vues : 622	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb341801330	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Z LE SENNE-11270	Avec mode texte	bnf.fr	944.0	9.0	monographie	9993.0	2013-02-20T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6471679v.html	5ccde6d7-37b7-4512-9d94-bb5f8a259d78
Voltaire (1694-1778)_Oeuvres complètes de Voltaire. 44,12	ark__12148_bpt6k6510547t	https://gallica.bnf.fr/ark:/12148/bpt6k6510547t	Oeuvres complètes de Voltaire. 44,12 	Voltaire (1694-1778), Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794)	Garnier frères (Paris)	1877-1885	52 vol. ; 24 cm, Nombre total de vues : 614	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31602455d'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31602455d']''	Bibliothèque nationale de France, département Littérature et art, 8-Z-721 (44)	Comprend : Vie de Voltaire, Appartient à l’ensemble documentaire : GTextes1, Avec mode texte	bnf.fr	84.0	8.0	monographie	9993.0	2013-03-25T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6510547t.html	125be443-82b3-42b0-9b82-6b70d41c3a73
Necker_Nouveaux mélanges extraits des manuscrits	ark__12148_bd6t53773653	https://gallica.bnf.fr/ark:/12148/bd6t53773653	Nouveaux mélanges extraits des manuscrits de M.me Necker. Tome 1 	Necker, Suzanne (1737-1794)	Paris, Charles Pougens, imprimeur-libraire, quai Voltaire, N.° 10. Genets, libraire, rue Thionville, N.° 5. An X. - 1801	1801	2 vol. (3-1 bl.-XVIII-341-1-1 bl. p., 3-1 bl.-318-1 p., portrait gr. sur cuivre en regard du titre) ; in-8, Nombre total de vues : 362	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31007398k'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31007398k']''	Bibliothèque nationale de France, département Littérature et art, Z-56076	Avec mode texte	bnf.fr	89.0	8.0	monographie	8778.0	2022-06-30T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bd6t53773653.html	da695f60-133c-40b0-8ba7-b3cbedda2fbc
Bossuet_Oraisons funèbres	ark__12148_bpt6k9612397h	https://gallica.bnf.fr/ark:/12148/bpt6k9612397h	Oraisons funèbres 	Bossuet, Jacques Bénigne (1627-1704), Bourdaloue, Louis (1632-1704), Fléchier, Esprit (1632-1710), Massillon, Jean-Baptiste (1663-1742), Lacordaire, Henri-Dominique (1802-1861)	Librairie Aristide Quillet (Paris)	1928	1 vol. (XI-330 p.) : grav. ; in-8, Nombre total de vues : 360	français	['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12559866n', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31848791q']	Bibliothèque nationale de France, département Littérature et art, 8-Z-25168 (9)	''Oraisons funèbres (français), Collection : Classiques Quillet, ''''Comprend : Le vrai repentir ; Julie dAgennes ; Lhypocrisie ; Nous naimons pas Dieu'''', Contient une table des matières, Avec mode texte''	bnf.fr	84.0	8.0	monographie	9971.0	2015-10-18T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9612397h.html	00b5d568-dc37-40ab-a09e-fc7b3d161dfe
Chamfort_Chamfortiana, ou Recueil choisi d'anecdotes	ark__12148_bpt6k6319278n	https://gallica.bnf.fr/ark:/12148/bpt6k6319278n	Chamfortiana, ou Recueil choisi d'anecdotes piquantes et de traits d'esprit de Chamfort ; précédé d'une notice sur sa vie et ses ouvrages	Chamfort, Sébastien-Roch-Nicolas de (1741?-1794), Aubin, Noël (1754-1835)	chez les marchands de nouveautés (Impr. de Delance) (Paris)	1800	XL-168 p. ; in-12, Nombre total de vues : 216	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb302179859	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-21888	Avec mode texte	bnf.fr	92.0	9.0	monographie	9877.0	2012-10-15T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6319278n.html	9f689341-583b-4f6e-b881-63721b6c12c0
Turpin de Sansay_Voltaire : (sa vie, ses	ark__12148_bpt6k6350811v	https://gallica.bnf.fr/ark:/12148/bpt6k6350811v	Voltaire : (sa vie, ses oeuvres) 	Turpin de Sansay, Louis-Adolphe (1832-18..?), Voltaire (1694-1778), Voltaire (1694-1778)	E. Dentu (Paris)	1867	1 vol. (173 p.) ; in-18, Nombre total de vues : 198	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb315068063	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-22981	''''''Comprend : Éloge de Voltaire composé par lui-même (Aux Champs-Élysées, le 30 auguste 1778) ; A messieurs de lAcadémie française'''', Avec mode texte''	bnf.fr	92.0	9.0	monographie	9996.0	2012-10-28T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6350811v.html	68bec5e9-15c3-4806-80db-45d59e187a67
Fléchier_Chefs-d'oeuvre oratoires de Fléchier, Bourdaloue.	ark__12148_bpt6k6458009r	https://gallica.bnf.fr/ark:/12148/bpt6k6458009r	Chefs-d'oeuvre oratoires de Fléchier, Bourdaloue. [Petit Carême 	Fléchier, Esprit (1632-1710), Massillon, Jean-Baptiste (1663-1742), Bourdaloue, Louis (1632-1704)	Furne (Paris)	1853	1 vol. (478 p.) ; in-8, Nombre total de vues : 506	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30440681c	Bibliothèque nationale de France, département Littérature et art, X-25169	Comprend : Petit carême, Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	9996.0	2012-12-23T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6458009r.html	1739daed-1316-42e1-a002-f1686ac356e3
Eynard_Essai sur la vie de	ark__12148_bpt6k1148759	https://gallica.bnf.fr/ark:/12148/bpt6k1148759	Essai sur la vie de Tissot,... : contenant des lettres inédites de Tronchin, Voltaire, Haller, Zimmermann, Rousseau, Bonnet, Stanislas Auguste II, Napoléon Bonaparte, etc. 	Eynard, Charles (1808-1876), Stanislas II Auguste Poniatowski (1732-1798 ; roi de Pologne), Tissot, Samuel Auguste André David (1728-1797), Tronchin, Théodore (1709-1781), Voltaire (1694-1778), Rousseau, Jean-Jacques (1712-1778), Napoléon Ier (1769-1821 ; empereur des Français)	(Lausanne)	1839	1 vol. (389 p.) ; in-8, Nombre total de vues : 387	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb304123388	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, M-26048		bnf.fr	61.0	6.0	monographie	9938.0	2007-12-09T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k1148759.html	bcdb99ee-ad77-4d16-821a-a3fdb3f76755
Polier de Bottens_Pensées philosophiques [par D. Diderot].	ark__12148_bpt6k9633211h	https://gallica.bnf.fr/ark:/12148/bpt6k9633211h	Pensées philosophiques [par D. Diderot]. - Pensées chrétiennes mises en parallèle ou en opposition avec les pensées philosophiques. On y a joint quelques réflexions d'un autre auteur sur ces dernières. [Par G.-P.-G. Polier de Bottens.]	Polier de Bottens, Georges-Pierre-G.. , Diderot, Denis (1713-1784)	aux dépens de la Compagnie (Rouen)	1747	In-12, 251 p. et les tables, Nombre total de vues : 284	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31130585w	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, R-18012	Contient une table des matières, Avec mode texte	bnf.fr	19.0	1.0	monographie	9687.0	2016-01-10T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9633211h.html	eb3c6e1d-31b8-446a-8984-340355fe210e
La Fontaine_Choix de fables de La	ark__12148_bd6t5370024g	https://gallica.bnf.fr/ark:/12148/bd6t5370024g	Choix de fables de La Fontaine, Florian et autres auteurs : avec des notices biographiques et des notes explicatives, à l'usage des écoles primaires et de l'année préparatoire de l'enseignement secondaire spécial 	La Fontaine, Jean de (1621-1695), Florian, Jean-Pierre Claris de (1755-1794)	Hachette (Paris)	1885	1 vol (140 p.) ; in-16, Nombre total de vues : 148	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb320046635	Bibliothèque nationale de France, département Littérature et art, 8-YE-932	Avec mode texte	bnf.fr	84.0	8.0	monographie	893.0	2022-01-19T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bd6t5370024g.html	a5aabd57-f558-4339-9e3d-a84c3b6f35c7
''Destutt de Tracy_Commentaire sur l'''''Esprit des lois''''''	ark__12148_bpt6k5658432n	https://gallica.bnf.fr/ark:/12148/bpt6k5658432n	''Commentaire sur l'''''Esprit des lois'''' de Montesquieu ; suivi d'observations inédites de Condorcet sur le 29e livre du même ouvrage''	Destutt de Tracy, Antoine-Louis-Claude (1754-1836), Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794)	Delaunay (Paris)	1819	XVI-476 p. ; in-8, Nombre total de vues : 498	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30336693f	Bibliothèque nationale de France, département Droit, économie, politique, E*-1333	''Comprend : Observations sur le vingt-neuvième livre de l\''''Esprit des lois'''', Appartient à l’ensemble documentaire : GTextes1, Contient une table des matières, Avec mode texte''	bnf.fr	34.0	3.0	monographie	9613.0	2009-06-21T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5658432n.html	8f1c6fa2-6d34-4068-aa67-442006111d23
Casanova_Casanova à Paris : ses	ark__12148_bpt6k63862473	https://gallica.bnf.fr/ark:/12148/bpt6k63862473	Casanova à Paris : ses séjours racontés par lui-même 	Casanova, Giacomo (1725-1798)	J. Schemit (Paris)	1913	1 vol. (XII-511-XVI p.) ; in-8, Nombre total de vues : 558	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31912779z	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Z LE SENNE-3640	Contient une table des matières, Avec mode texte	bnf.fr	944.0	9.0	monographie	9996.0	2012-12-16T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k63862473.html	1bd794ff-53a6-440d-899e-43aeff903374
Sade_Idée sur le mode de	ark__12148_bpt6k54400944	https://gallica.bnf.fr/ark:/12148/bpt6k54400944	Idée sur le mode de la sanction des loix	Sade, Donatien Alphonse François de (1740-1814)	(Paris)	17..	16 p. ; in-16, Nombre total de vues : 20	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31276032c	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB41-2400	Avec mode texte	bnf.fr	34.0	3.0	monographie	9051.0	2008-09-18T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k54400944.html	644747b0-8409-412c-93fd-09a94f7f4871
La Beaumelle_Vie de Maupertuis	ark__12148_bpt6k108346z	https://gallica.bnf.fr/ark:/12148/bpt6k108346z	Vie de Maupertuis 	La Beaumelle, Laurent de (1727-1773), Angliviel, Maurice (1779-1876), Frédéric II (1712-1786 ; roi de Prusse), Maupertuis, Pierre-Louis Moreau de (1698-1759)	Ledoyen (Paris)	1856	XI-494 p. ; in-18, Nombre total de vues : 509	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb307027558	Bibliothèque nationale de France, département Centre technique du livre, 8-Ln27-13823	Comprend : Lettre (de Maurice Angliviel du 5 octobre 1857) à M. Ledoyen, libraire, et à M. Ch. Meyrueis, imprimeur-libraire ; Lettres inédites / de Frédéric le Grand ; Lettres inédites / de Maupertuis	bnf.fr	52.0	5.0	monographie	9948.0	2007-10-14T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k108346z.html	77cdbe05-2f44-4a12-a2da-f5a568e1c218
Bernardin de Saint-Pierre_Oeuvres de Jacques-Henri-Bernardin de Saint-Pierre	ark__12148_bpt6k58190460	https://gallica.bnf.fr/ark:/12148/bpt6k58190460	Oeuvres de Jacques-Henri-Bernardin de Saint-Pierre 	Bernardin de Saint-Pierre, Henri (1737-1814)	(Paris)	1836	786 p. à 2 col. : portrait et pl. gr. ; in-4°, Nombre total de vues : 816	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31284042d	Bibliothèque nationale de France, département Littérature et art, Z-5175	Appartient à l’ensemble documentaire : HNormand1, Appartient à l’ensemble documentaire : BmLHav000, Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	9998.0	2010-04-18T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k58190460.html	69aa6a13-f134-407c-928b-aaa1b2b0f9a3
Lesage_Gil Blas de Santillane... Édition	ark__12148_bpt6k5772921h	https://gallica.bnf.fr/ark:/12148/bpt6k5772921h	Gil Blas de Santillane... Édition pour la jeunesse, avec introduction par Louis Tarsot,...	Lesage, Alain-René (1668-1747)	(Paris)	1907	In-4° , III-126 p., fig., Nombre total de vues : 152	français	['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119426464', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30801016c']	Bibliothèque nationale de France, département Littérature et art, 4-Y2-6030	Histoire de Gil Blas de Santillane (français), Contient une table des matières, Avec mode texte	bnf.fr	84.0	8.0	monographie	9765.0	2010-01-11T23:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5772921h.html	0920d0ce-e1ec-4abf-b44e-69cad26a244b
Buffon_Les quadrupèdes : animaux domestiques	ark__12148_bpt6k759917	https://gallica.bnf.fr/ark:/12148/bpt6k759917	Les quadrupèdes : animaux domestiques et animaux sauvages en France ; précédés du Discours sur la nature des animaux	Buffon, Georges-Louis Leclerc comte de (1707-1788)	(Bar-le-Duc)	1877	IV-298 p. ; in-8, Nombre total de vues : 309	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb301744184	Bibliothèque nationale de France, département Sciences et techniques, 8-S-594	''''''Collection : Bibliothèque des chefs-doeuvre'''', ''''Collection : Bibliothèque des chefs-doeuvre''''''	bnf.fr	59.0	5.0	monographie	9772.0	2007-10-14T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k759917.html	d9ad4d81-9ae5-4691-8775-37d4b5e311fd
Chamfort_Oeuvres complètes de Chamfort. T.	ark__12148_bpt6k2026541	https://gallica.bnf.fr/ark:/12148/bpt6k2026541	Oeuvres complètes de Chamfort. T. 5 	Chamfort, Sébastien-Roch-Nicolas de (1741?-1794)	Chaumerot jeune (Paris)	1824-1825	5 vol. ; in-8, Nombre total de vues : 442	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30217974n'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30217974n']''	Bibliothèque nationale de France		bnf.fr	80.0	8.0	monographie	9476.0	2007-10-14T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k2026541.html	607c916f-3ebe-4b27-926e-38449a7fa936
Buffon_Correspondance inédite de Buffon, à	ark__12148_bpt6k62985931	https://gallica.bnf.fr/ark:/12148/bpt6k62985931	Correspondance inédite de Buffon, à laquelle ont été réunies les lettres publiées jusqu'à ce jour. Tome 1 	Buffon, Georges-Louis Leclerc comte de (1707-1788)	(Paris)	1860	2 vol. (XXXVII-500, 644 p.) ; in-8, Nombre total de vues : 553	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30174432p'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30174432p']''	Bibliothèque nationale de France, département Littérature et art, Z-44255	Contient une table des matières, Avec mode texte	bnf.fr	50.0	5.0	monographie	9996.0	2013-04-28T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k62985931.html	0195d59e-82f4-49af-8d34-0c99c15d2a2f
